director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Robert StrombergAdam Randall,Angelina Jolie PittBill Milner,Sharlto CopleyMaisie Williams,Sam RileyRory Kinnear,Action Adventure Family Fantasy RomanceAction Crime Sci-Fi Thriller,maleficentiboy,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy RomanceBill Milner Maisie Williams Rory Kinnear Adam Randall Action Crime Sci-Fi Thriller
Matt ReevesSalvatore Ficarra Valentino Picone,Gary OldmanSalvatore Ficarra,Judy GreerValentino Picone,Kodi Smit-McPheeVincenzo Amato,Action Adventure Drama Sci-FiComedy,dawn of the planet of the apesl'ora legale,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-FiSalvatore Ficarra Valentino Picone Vincenzo Amato Salvatore Ficarra Valentino Picone Comedy
Roland JofféOnur Tukel,Tamsin EgertonSandra Oh,Alice EnglertAnne Heche,Bipasha BasuAlicia Silverstone,Action Adventure Romance Sci-FiComedy Drama,the loverscatfight,Tamsin Egerton Alice Englert Bipasha Basu Roland Joffé Action Adventure Romance Sci-FiSandra Oh Anne Heche Alicia Silverstone Onur Tukel Comedy Drama
Carl RinschDavid Lowery,Keanu ReevesCasey Affleck,Cary-Hiroyuki TagawaRooney Mara,Jin AkanishiWill Oldham,Action Adventure Drama FantasyDrama Fantasy Romance,47 ronina ghost story,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama FantasyCasey Affleck Rooney Mara Will Oldham David Lowery Drama Fantasy Romance
Anthony RussoRupert Sanders,Scarlett JohanssonScarlett Johansson,Chris EvansMichael Pitt,Hayley AtwellPilou Asbæk,Action Adventure Sci-FiAction Sci-Fi Thriller,captain america: the winter soldierghost in the shell,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-FiScarlett Johansson Michael Pitt Pilou Asbæk Rupert Sanders Action Sci-Fi Thriller
Mike MitchellMatt Murphy,Jon HammDean O'Gorman,Kathy GriffinJames Rolleston,Mary Kay PlaceAshleigh Cummings,Adventure Animation Comedy Family FantasyAction Comedy Crime,shrek forever afterpork pie,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family FantasyDean O'Gorman James Rolleston Ashleigh Cummings Matt Murphy Action Comedy Crime
Don HallKaryn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent,Damon Wayans Jr.Natalie Brown,Daniel HenneyMelanie Lynskey,Abraham BenrubiBreeda Wool,Action Adventure Animation Comedy Drama Family Sci-FiHorror,big hero 6xx,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-FiNatalie Brown Melanie Lynskey Breeda Wool Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent Horror
Rich MooreShaad Ali,Jack McBrayerAditya Roy Kapoor,Sarah SilvermanShraddha Kapoor,Joe Lo TruglioLeela Samson,Adventure Animation Comedy Family Sci-FiDrama Romance,wreck-it ralphok jaanu,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-FiAditya Roy Kapoor Shraddha Kapoor Leela Samson Shaad Ali Drama Romance
Robert ZemeckisJames Foley,Tom HanksDakota Johnson,Eddie DeezenJamie Dornan,Peter ScolariEric Johnson,Adventure Animation Family FantasyDrama Romance,the polar expressfifty shades darker,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family FantasyDakota Johnson Jamie Dornan Eric Johnson James Foley Drama Romance
Roland EmmerichCraig Johnson,Vivica A. FoxWoody Harrelson,Sela WardSandy Oian-Thomas,Judd HirschShaun Brown,Action Adventure Sci-FiDrama Comedy,independence day: resurgencewilson,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-FiWoody Harrelson Sandy Oian-Thomas Shaun Brown Craig Johnson Drama Comedy
Dean DeBloisFyodor Bondarchuk,Gerard ButlerRinal Mukhametov,America FerreraSergey Garmash,Craig FergusonOleg Menshikov,Adventure Animation Family FantasyDrama Romance Sci-Fi,how to train your dragonattraction,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family FantasyRinal Mukhametov Sergey Garmash Oleg Menshikov Fyodor Bondarchuk Drama Romance Sci-Fi
Jonathan MostowPascal Bourdiaux,Nick StahlJean Reno,M.C. GaineyReem Kherici,Carolyn HennesyCamille Chamoux,Action Sci-FiComedy,terminator 3: rise of the machinesfamily heist,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-FiJean Reno Reem Kherici Camille Chamoux Pascal Bourdiaux Comedy
James GunnCaradog W. James,Bradley CooperKatee Sackhoff,Vin DieselLucy Boynton,Djimon HounsouJavier Botet,Action Adventure Sci-FiHorror,guardians of the galaxydon't knock twice,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-FiKatee Sackhoff Lucy Boynton Javier Botet Caradog W. James Horror
Christopher NolanIdo Fluk,Matthew McConaugheyDan Stevens,Anne HathawayMalin Åkerman,Mackenzie FoyKerry Bishé,Adventure Drama Sci-FiDrama,interstellarthe ticket,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-FiDan Stevens Malin Åkerman Kerry Bishé Ido Fluk Drama
Christopher NolanEd Gass-Donnelly,Leonardo DiCaprioAbbie Cornish,Tom HardyDermot Mulroney,Joseph Gordon-LevittDiego Klattenhoff,Action Adventure Sci-Fi ThrillerDrama Thriller,inceptionlavender,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi ThrillerAbbie Cornish Dermot Mulroney Diego Klattenhoff Ed Gass-Donnelly Drama Thriller
Hideaki AnnoChristopher Smith,Mark ChinneryTye Sheridan,Shin'ya TsukamotoBel Powley,Atsuko MaedaEmory Cohen,Action Adventure Drama Horror Sci-FiThriller,godzilla resurgencedetour,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-FiTye Sheridan Bel Powley Emory Cohen Christopher Smith Thriller
Peter JacksonBill Purple,Aidan TurnerJason Sudeikis,Adam BrownMaisie Williams,James NesbittJessica Biel,Adventure FantasyDrama,the hobbit: an unexpected journeythe book of love,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure FantasyJason Sudeikis Maisie Williams Jessica Biel Bill Purple Drama
Rob CohenAki Kaurismäki,Paul WalkerSakari Kuosmanen,Vin DieselSherwan Haji,Jordana BrewsterSimon Al-Bazoon,Action Crime ThrillerComedy Drama,the fast and the furiousthe other side of hope,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime ThrillerSakari Kuosmanen Sherwan Haji Simon Al-Bazoon Aki Kaurismäki Comedy Drama
Matthew VaughnAlex Grossman,Jennifer LawrenceTroy Doherty,Michael FassbenderFlavia Watson,Oliver PlattRaychel Diane Weiner,Action Adventure Sci-FiComedy,x-men: first classhickey,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-FiTroy Doherty Flavia Watson Raychel Diane Weiner Alex Grossman Comedy
Jon TurteltaubArnaud des Pallières,Nicolas CageAdèle Exarchopoulos,Omar Benson MillerAdèle Haenel,Robert CapronSolène Rigot,Action Adventure Family FantasyDrama,the sorcerer's apprenticeorphan,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family FantasyAdèle Exarchopoulos Adèle Haenel Solène Rigot Arnaud des Pallières Drama
Wolfgang PetersenMartín Hodara,Jimmy BennettRicardo Darín,Mike VogelLeonardo Sbaraglia,Andre BraugherLaia Costa,Action Adventure Drama ThrillerMystery Drama Crime Thriller,poseidonblack snow,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama ThrillerRicardo Darín Leonardo Sbaraglia Laia Costa Martín Hodara Mystery Drama Crime Thriller
Chris MillerAkiva Schaffer Scott Aukerman,Justin TimberlakeMichael Bolton,Eric IdleAdam Scott,Rupert EverettSarah Shahi,Adventure Animation Comedy Family FantasyComedy Music,"shrek the thirdmichael bolton's big, sexy valentine's day special",Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family FantasyMichael Bolton Adam Scott Sarah Shahi Akiva Schaffer Scott Aukerman Comedy Music
Duncan JonesEvan Oppenheimer,Dominic CooperBrett Dalton,Callum RennieEmily Atack,Ruth NeggaStana Katic,Action Adventure FantasyAdventure Drama Romance,warcraftlost in florence,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure FantasyBrett Dalton Emily Atack Stana Katic Evan Oppenheimer Adventure Drama Romance
Alan TaylorBen Browder,J.K. SimmonsGina Gershon,Emilia ClarkeSean Astin,Matt SmithSammi Hanratty,Action Adventure Sci-FiMystery Comedy Thriller Sci-Fi Fantasy,terminator genisysbad kids of crestview academy,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-FiGina Gershon Sean Astin Sammi Hanratty Ben Browder Mystery Comedy Thriller Sci-Fi Fantasy
Michael AptedSydney Sibilia,Bruce SpenceEdoardo Leo,Shane RangiValerio Aprea,Laura BrentStefano Fresi,Adventure Family FantasyAction Comedy Crime,the chronicles of narnia: the voyage of the dawn treadersmetto quando voglio: masterclass,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family FantasyEdoardo Leo Valerio Aprea Stefano Fresi Sydney Sibilia Action Comedy Crime
Michael BayOliver Schmitz,Jennifer GarnerAndrea Riseborough,Jaime KingSteve Coogan,MakoDeon Lotz,Action Drama History Romance WarDrama,pearl harborshepherds and butchers,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance WarAndrea Riseborough Steve Coogan Deon Lotz Oliver Schmitz Drama
Michael BayJames Franco,Zack WardJames Franco,Michael O'NeillNat Wolff,Kevin DunnSelena Gomez,Action Adventure Sci-FiDrama,transformersin dubious battle,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-FiJames Franco Nat Wolff Selena Gomez James Franco Drama
Oliver StoneCate Shortland,Anthony HopkinsTeresa Palmer,Angelina Jolie PittMax Riemelt,Brian BlessedMatthias Habich,Action Adventure Biography Drama History Romance WarMystery Thriller Drama Horror,alexanderberlin syndrome,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance WarTeresa Palmer Max Riemelt Matthias Habich Cate Shortland Mystery Thriller Drama Horror
Mike NewellJenny Gage,Robert PattinsonDusty Rose Ryan,Daniel RadcliffeLena M.,Rupert GrintGinger Leigh Ryan,Adventure Family Fantasy MysteryDocumentary,harry potter and the goblet of fireall this panic,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy MysteryDusty Rose Ryan Lena M. Ginger Leigh Ryan Jenny Gage Documentary
Peter BergJoel David Moore,Will SmithFrank Langella,Charlize TheronBilly Crudup,Eddie MarsanChristina Applegate,Action DramaComedy Drama,hancockyouth in oregon,Will Smith Charlize Theron Eddie Marsan Peter Berg Action DramaFrank Langella Billy Crudup Christina Applegate Joel David Moore Comedy Drama
Francis LawrenceTerrence Malick,Will SmithMichael Fassbender,Alice BragaRyan Gosling,Willow SmithRooney Mara,Drama Horror Sci-FiDrama Music Romance,i am legendsong to song,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-FiMichael Fassbender Ryan Gosling Rooney Mara Terrence Malick Drama Music Romance
Tim BurtonMarti Noxon,Johnny DeppLily Collins,Christopher LeeCarrie Preston,David KellyLili Taylor,Adventure Comedy Family FantasyDrama,charlie and the chocolate factoryto the bone,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family FantasyLily Collins Carrie Preston Lili Taylor Marti Noxon Drama
Brad BirdMichael Stephenson,Janeane GarofaloBob Odenkirk,John RatzenbergerAmber Tamblyn,Brian DennehyNatasha Lyonne,Animation Comedy Family FantasyComedy Drama,ratatouillegirlfriend's day,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family FantasyBob Odenkirk Amber Tamblyn Natasha Lyonne Michael Stephenson Comedy Drama
Christopher NolanLiu Jian,Christian BaleYang Siming,Liam NeesonCao Kou,Morgan FreemanMa Xiaofeng,Action AdventureAnimation Crime,batman beginshave a nice day,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action AdventureYang Siming Cao Kou Ma Xiaofeng Liu Jian Animation Crime
Eric DarnellAnne Hamilton,Bernie MacPeyton Kennedy,Jada Pinkett SmithRichard Schiff,Cedric the EntertainerKip Pardue,Action Adventure Animation Comedy FamilyDrama Thriller,madagascar: escape 2 africaamerican fable,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy FamilyPeyton Kennedy Richard Schiff Kip Pardue Anne Hamilton Drama Thriller
Gavin HoodMarc Rothemund,Hugh JackmanKostja Ullmann,Ryan ReynoldsAnna Maria Mühe,Dominic MonaghanJacob Matschenz,Action Adventure Fantasy Sci-Fi ThrillerComedy,x-men origins: wolverinemy blind date with life,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi ThrillerKostja Ullmann Anna Maria Mühe Jacob Matschenz Marc Rothemund Comedy
Lana WachowskiMirjana Karanović,Essie DavisMirjana Karanović,Collin ChouBoris Isaković,Nona GayeMarko Nikolić,Action Sci-FiDrama,the matrix revolutionsa good wife,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-FiMirjana Karanović Boris Isaković Marko Nikolić Mirjana Karanović Drama
Chris BuckAgnieszka Holland,Josh GadAgnieszka Mandat-Grabka,Maurice LaMarcheWiktor Zborowski,Livvy StubenrauchJakub Gierszał,Adventure Animation Comedy Family Fantasy MusicalCrime Drama Mystery Thriller,frozenspoor,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy MusicalAgnieszka Mandat-Grabka Wiktor Zborowski Jakub Gierszał Agnieszka Holland Crime Drama Mystery Thriller
Lana WachowskiFrancis Lee,Steve BastoniJosh O'Connor,Daniel BernhardtAlec Secareanu,Helmut BakaitisIan Hart,Action Sci-FiRomance Drama,the matrix reloadedgod's own country,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-FiJosh O'Connor Alec Secareanu Ian Hart Francis Lee Romance Drama
Alan TaylorSebastián Lelio,Chris HemsworthDaniela Vega,Natalie PortmanFrancisco Reyes,Anthony HopkinsLuis Gnecco,Action Adventure FantasyDrama,thor: the dark worlda fantastic woman,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure FantasyDaniela Vega Francisco Reyes Luis Gnecco Sebastián Lelio Drama
George MillerTeresa Villaverde,Tom HardyJoão Pedro Vaz,Charlize TheronAlice Albergaria Borges,Zoë KravitzBeatriz Batarda,Action Adventure Sci-Fi ThrillerDrama,mad max: fury roadcolo,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi ThrillerJoão Pedro Vaz Alice Albergaria Borges Beatriz Batarda Teresa Villaverde Drama
Ron HowardCălin Peter Netzer,Tom HanksMircea Postelnicu,Ayelet ZurerDiana Cavallioti,Armin Mueller-StahlCarmen Tănase,Mystery ThrillerDrama,"angels & demonsana, my love",Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery ThrillerMircea Postelnicu Diana Cavallioti Carmen Tănase Călin Peter Netzer Drama
Kenneth BranaghRezo Gigineishvili,Chris HemsworthIrakli Kvirikadze,Natalie PortmanTinatin Dalakishvili,Anthony HopkinsMerab Ninidze,Action Adventure FantasyDrama,thorhostages,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure FantasyIrakli Kvirikadze Tinatin Dalakishvili Merab Ninidze Rezo Gigineishvili Drama
Byron HowardSo Yong Kim,Chloë Grace MoretzJena Malone,Diedrich BaderRiley Keough,James LiptonJessie Ok Gray,Adventure Animation Comedy Drama FamilyDrama Romance,boltlovesong,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama FamilyJena Malone Riley Keough Jessie Ok Gray So Yong Kim Drama Romance
Jonathan LiebesmanVladimir Besedin,Liam NeesonAleksandr Gorbatov,Edgar RamírezIvan Fominov,Lily JamesAnton Kuznetsov,Action Adventure FantasyAction Adventure Sci-Fi Drama,wrath of the titansmajor grom,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure FantasyAleksandr Gorbatov Ivan Fominov Anton Kuznetsov Vladimir Besedin Action Adventure Sci-Fi Drama
Tim BurtonPeter W. Kunhardt Brian Oakes,Johnny DeppWarren Buffett,Chloë Grace MoretzSusan Buffett,Christopher LeeBill Gates,Comedy Fantasy HorrorDocumentary,dark shadowsbecoming warren buffett,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy HorrorWarren Buffett Susan Buffett Bill Gates Peter W. Kunhardt Brian Oakes Documentary
Christopher McQuarrieCatalina Aguilar Mastretta,Tom CruiseKarla Souza,Jeremy RennerJosé María Yazpik,Sean HarrisBen O'Toole,Action Adventure ThrillerRomance Comedy,mission: impossible - rogue nationeverybody loves somebody,Tom Cruise Jeremy Renner Sean Harris Christopher McQuarrie Action Adventure ThrillerKarla Souza José María Yazpik Ben O'Toole Catalina Aguilar Mastretta Romance Comedy
Joe JohnstonDany Boon,Anthony HopkinsAlice Pol,Simon MerrellsDany Boon,Art MalikMichel Blanc,Drama Fantasy Horror ThrillerAction Comedy,the wolfmanr.a.i.d. special unit,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror ThrillerAlice Pol Dany Boon Michel Blanc Dany Boon Action Comedy
David YatesLeslie Libman,Christoph WaltzNatasha Bassett,Alexander SkarsgårdJenna Berman,Casper CrumpMatthew Harrison,Action Adventure Drama RomanceDrama TV Movie,the legend of tarzanbritney ever after,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama RomanceNatasha Bassett Jenna Berman Matthew Harrison Leslie Libman Drama TV Movie
Jennifer Yuh NelsonKerstin Karlhuber,Angelina Jolie PittTom Wopat,Gary OldmanMichael Grant,Mike BellGregory Harrison,Action Adventure Animation Comedy FamilyFamily Drama,kung fu panda 2fair haven,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy FamilyTom Wopat Michael Grant Gregory Harrison Kerstin Karlhuber Family Drama
Roland EmmerichDestin Cretton,Channing TatumBrie Larson,Jake WeberWoody Harrelson,Matt CravenNaomi Watts,Action Drama ThrillerDrama,white house downthe glass castle,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama ThrillerBrie Larson Woody Harrelson Naomi Watts Destin Cretton Drama
Simon WellsThomas Torrey,Elisabeth HarnoisThomas Torrey,Dan FoglerKatherine Drew,Tom Everett ScottJ.R. Adduci,Action Adventure Animation Comedy Family Sci-FiDrama Thriller,mars needs momsfare,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-FiThomas Torrey Katherine Drew J.R. Adduci Thomas Torrey Drama Thriller
David BowersDome Karukoski,Hugh JackmanPekka Strang,Kate WinsletLauri Tilkanen,David SuchetJakob Oftebro,Adventure Animation Comedy FamilyDrama,flushed awaytom of finland,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy FamilyPekka Strang Lauri Tilkanen Jakob Oftebro Dome Karukoski Drama
Rob MinkoffKris Avedisian,Ty BurrellLouisa Krause,Zach CallisonAllie Marshall,Karan BrarAriana DeFusco,Adventure Animation Comedy Family Sci-FiDrama Comedy,mr. peabody & shermandonald cried,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-FiLouisa Krause Allie Marshall Ariana DeFusco Kris Avedisian Drama Comedy
Wolfgang PetersenMike Dudko,Brad PittRachel Barrer,Orlando BloomGleb Kaminer,Julian GloverShaun Rey,AdventureHorror Comedy,troyzombie pizza,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen AdventureRachel Barrer Gleb Kaminer Shaun Rey Mike Dudko Horror Comedy
Eric DarnellLone Scherfig,Jada Pinkett SmithGemma Arterton,Martin ShortSam Claflin,Cedric the EntertainerBill Nighy,Adventure Animation Comedy FamilyRomance War Comedy Drama,madagascar 3: europe's most wantedtheir finest,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy FamilyGemma Arterton Sam Claflin Bill Nighy Lone Scherfig Romance War Comedy Drama
Lee TamahoriJoseph Ruben,Toby StephensMichiel Huisman,Colin SalmonHera Hilmar,Rick YuneJosh Hartnett,Action Adventure ThrillerRomance Drama War,die another daythe ottoman lieutenant,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure ThrillerMichiel Huisman Hera Hilmar Josh Hartnett Joseph Ruben Romance Drama War
Paul FeigWilliam Oldroyd,Ed Begley Jr.Florence Pugh,Kate McKinnonCosmo Jarvis,Zach WoodsPaul Hilton,Action Comedy Fantasy Sci-FiDrama,ghostbusterslady macbeth,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-FiFlorence Pugh Cosmo Jarvis Paul Hilton William Oldroyd Drama
Michael BayRitesh Batra,Bruce WillisJim Broadbent,Steve BuscemiCharlotte Rampling,Will PattonHarriet Walter,Action Adventure Sci-Fi ThrillerMystery Drama,armageddonthe sense of an ending,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi ThrillerJim Broadbent Charlotte Rampling Harriet Walter Ritesh Batra Mystery Drama
Barry SonnenfeldSusan Johnson,Will SmithBel Powley,Rosario DawsonNathan Lane,Rip TornGabriel Byrne,Action Adventure Comedy Family Fantasy Mystery Sci-FiDrama Comedy,men in black iicarrie pilby,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-FiBel Powley Nathan Lane Gabriel Byrne Susan Johnson Drama Comedy
Robert ZemeckisJames Franco Pamela Romanowsky,Robin WrightJames Franco,Anthony HopkinsTim Blake Nelson,Sebastian RochéLori Singer,Action Adventure Animation FantasyThriller,beowulfthe institute,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation FantasyJames Franco Tim Blake Nelson Lori Singer James Franco Pamela Romanowsky Thriller
Alessandro CarloniFilippo Capuzzi Lapietra,J.K. SimmonsFelipe Castanhari,Angelina Jolie PittRafinha Bastos,Wayne KnightPC Siqueira,Action Adventure Animation Comedy FamilyComedy,kung fu panda 3internet - o filme,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy FamilyFelipe Castanhari Rafinha Bastos PC Siqueira Filippo Capuzzi Lapietra Comedy
Brad BirdMehdi Idir Grand Corps Malade,Tom CruisePablo Pauly,Jeremy RennerSoufiane Guerrab,Michael NyqvistMoussa Mansaly,Action Adventure ThrillerDrama Comedy,mission: impossible - ghost protocolpatients,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure ThrillerPablo Pauly Soufiane Guerrab Moussa Mansaly Mehdi Idir Grand Corps Malade Drama Comedy
Peter RamseyStuart Hazeldine,Hugh JackmanSam Worthington,Kamil McFaddenOctavia Spencer,Khamani GriffinTim McGraw,Adventure Animation Family FantasyDrama Fantasy,rise of the guardiansthe shack,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family FantasySam Worthington Octavia Spencer Tim McGraw Stuart Hazeldine Drama Fantasy
Dean ParisotSvyatoslav Podgayevskiy,John Michael HigginsVictoria Agalakova,Richard BurgiVyacheslav Chepurchenko,David HermanAlexandra Rebenok,Comedy CrimeMystery Horror Thriller,fun with dick and janethe bride,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy CrimeVictoria Agalakova Vyacheslav Chepurchenko Alexandra Rebenok Svyatoslav Podgayevskiy Mystery Horror Thriller
Edward ZwickDaniel Espinosa,Tom CruiseJake Gyllenhaal,Tony GoldwynRebecca Ferguson,Chad LindbergRyan Reynolds,Action Drama History WarHorror Sci-Fi Thriller,the last samurailife,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History WarJake Gyllenhaal Rebecca Ferguson Ryan Reynolds Daniel Espinosa Horror Sci-Fi Thriller
Ridley ScottSanjay Gupta,Christian BaleHrithik Roshan,María ValverdeYami Gautam,Ben MendelsohnRonit Roy,Action Adventure DramaAction Crime Romance,exodus: gods and kingskaabil,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure DramaHrithik Roshan Yami Gautam Ronit Roy Sanjay Gupta Action Crime Romance
J.J. AbramsBryan Brewer,Chris HemsworthCree Kelly,Leonard NimoyAllie Rivera,Bruce GreenwoodThatcher Robinson,Action Adventure Sci-FiHorror,star trekthe raking,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-FiCree Kelly Allie Rivera Thatcher Robinson Bryan Brewer Horror
Sam RaimiJ.D. Dillard,J.K. SimmonsJacob Latimore,James FrancoSeychelle Gabriel,Kirsten DunstSasheer Zamata,Action Adventure Fantasy RomanceDrama Thriller Action Sci-Fi,spider-mansleight,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy RomanceJacob Latimore Seychelle Gabriel Sasheer Zamata J.D. Dillard Drama Thriller Action Sci-Fi
Alex ProyasSarah Adina Smith,Gerard ButlerRami Malek,Elodie YungDJ Qualls,Bryan BrownKate Lyn Sheil,Action Adventure FantasyMystery Drama,gods of egyptbuster's mal heart,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure FantasyRami Malek DJ Qualls Kate Lyn Sheil Sarah Adina Smith Mystery Drama
Rob CohenHan Jae-rim,Sam ShepardJo In-sung,Joe MortonJung Woo-sung,Richard RoxburghBae Seong-woo,Action Adventure Sci-Fi ThrillerDrama Crime,stealththe king,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi ThrillerJo In-sung Jung Woo-sung Bae Seong-woo Han Jae-rim Drama Crime
Zack SnyderDavid Ryan Keith,Matt FrewerMichael Koltes,Billy CrudupPaul Flannery,Stephen McHattieLisa Livingstone,Action Drama Mystery Sci-FiHorror,watchmenghosts of darkness,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-FiMichael Koltes Paul Flannery Lisa Livingstone David Ryan Keith Horror
Richard DonnerDean Israelite,Jet LiDacre Montgomery,Rene RussoNaomi Scott,Darlene LoveRJ Cyler,Action Crime ThrillerAction Adventure Sci-Fi,lethal weapon 4power rangers,Jet Li Rene Russo Darlene Love Richard Donner Action Crime ThrillerDacre Montgomery Naomi Scott RJ Cyler Dean Israelite Action Adventure Sci-Fi
Ang LeeRidley Scott,Kevin RankinMichael Fassbender,Regi DavisKatherine Waterston,Celia WestonBilly Crudup,Action Sci-FiHorror Sci-Fi Thriller,hulkalien: covenant,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-FiMichael Fassbender Katherine Waterston Billy Crudup Ridley Scott Horror Sci-Fi Thriller
Jon M. ChuMassimiliano Bruno,Channing TatumMarco Giallini,Dwayne JohnsonAlessandro Gassman,Elodie YungTeresa Romagnoli,Action Adventure Sci-Fi ThrillerComedy,g.i. joe: retaliationbeata ignoranza,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi ThrillerMarco Giallini Alessandro Gassman Teresa Romagnoli Massimiliano Bruno Comedy
